HEART section,Tile name,App section,Goal,Signal,Event,Properties,Metric,Hypothesis,PostHog tile URL,Results,Learnings
Happiness,Happiness — App rating,Whole app,Attendees find the app worth using rather than a chore,App rating submitted,app_rating_submitted,"star_rating (1-5), has_comment (bool)",Average app star rating; count of ratings submitted,4.0+ suggests the app earned its place. Below 3.5 suggests it added friction. Very few ratings at all is itself a signal - people rate what they care about.,,,
Happiness,Happiness — Session ratings,Sessions,Attendees can tell speakers what landed,Session rating submitted,session_rating_submitted,"star_rating (1-5), has_comment (bool)",Average session star rating; % of ratings carrying a comment,Comments on more than a quarter suggests people felt heard. Ratings clustered on a few sessions suggests only strong reactions get recorded.,,,
Adoption,Adoption — Sign-in funnel,Whole app,Attendees can get in without help,"Code requested, then entered successfully",sign_in_email_requested → sign_in_started → sign_in_completed,-,"Funnel conversion, request → completed",Below 85% means people are stuck at the code step - check spam placement and the 60s cooldown before blaming the code itself.,,,
Adoption,Adoption — Installed vs browser,Whole app,"People install, because that is where notifications work",App launched from the Home Screen,home_screen_launch,-,Unique users firing home_screen_launch / unique signed-in users,Low share explains weak notification reach: an uninstalled app cannot receive them on iOS.,,,
Adoption,Adoption — Notifications enabled,Whole app,Attendees opt in to being told what changed,Push permission granted,notification_permission_granted,-,Unique users granting permission / unique signed-in users,Below half means schedule changes will not reach the room in time.,,,
Adoption,Adoption — Profile completed,Networking,Attendees make themselves findable,Profile saved,profile_edited,-,Unique users saving a profile / unique signed-in users,"Profiles arrive prefilled, so a low number is fine - it means we got the import right, not that people disengaged.",,,
Engagement,Engagement — Feed,Feed,The feed is worth checking back on,Feed opened; attendee posts,"feed_opened, attendee_post_created",-,Feed opens per user; count of attendee posts,Posts from more than a handful of people suggests the feed reads as shared rather than a broadcast channel.,,,
Engagement,Engagement — My Schedule,Programme,Attendees plan their day rather than drift through it,Session starred,session_starred,sessionId,Unique users starring at least one session; stars per user,Three or more stars per user suggests genuine planning rather than a curious tap.,,,
Engagement,Engagement — Rooms explored,Programme,Attendees discover what is on beyond the room they are in,Programme tab opened,program_opened,"track (main, demos, open, mine)",Unique users viewing 2+ distinct tracks; breakdown by track,"If most people only ever see Main stage, the Demos and Open Sessions tracks are effectively invisible.",,,
Task success,Task success — Session detail,Programme,Attendees can find out what a session is about,Session page opened,session_page_opened,-,Session pages opened per user,Programme opens with almost no session opens suggests the cards already answer the question - not necessarily a failure.,,,
Task success,Task success — Directory search,Networking,Attendees can find a specific person,Search performed,directory_search,"length, results",Searches per user; % of searches returning zero results,"Zero-result searches above 20% suggests people search for something the directory does not hold - company, or topic.",,,
Task success,Task success — Outbound taps,Networking,The directory leads somewhere: a person's profile or their company,LinkedIn or company link tapped,"linkedin_tap, company_link_tapped",-,Outbound taps / profile views,Above 20% suggests the directory works as an introduction. Very low suggests people browse but never act.,,,
Task success,Task success — Demo product links,Programme,A demo leads to the thing it demonstrated,Product link tapped on a demo session,product_link_tapped,-,Product taps / demo session pages opened,This is the clearest commercial signal in the app: someone went looking for the product after the pitch.,,,
Task success,Task success — Open Space board,Open Sessions,Attendees reach the board where topics are proposed and voted on,Board link tapped,open_space_board_tapped,before_schedule (bool),Unique users tapping through; split before vs after the agenda lands,Taps before the schedule is set are the ones that matter - they are the people who can still influence it.,,,
Retention,Retention — Return visits,Whole app,"The app is used across the day, not opened once",Repeat sessions per user,$pageview,path,Median distinct hours in which a user is active,Three or more separate hours suggests it became the thing people check between talks.,,,
Aha moment,Aha moment — Set up and planning,Whole app,"A user got far enough to get value: signed in, made themselves findable, explored the programme and planned their day",Cohort: signed in AND saved a profile AND viewed all three room tabs AND opened a session AND starred a session,"sign_in_completed, profile_edited, program_opened (track=main, demos, open), session_page_opened, session_starred",-,Count and % of signed-in users meeting every condition,"Defined as a PostHog cohort rather than a fired event, so the definition can be changed after the fact and applies retroactively.",,,
Aha moment,Aha moment — Super users,Whole app,A user did all of the above and engaged with other people as well,Cohort: the aha cohort AND viewed a profile AND opened the feed,"(aha cohort), profile_view, feed_opened",-,Count and % of signed-in users in the super-user cohort,The gap between aha and super user says whether the app is a personal planner or an actual social object.,,,
